2013-07-15 01:41:21.826366 : Error(101)!! There was 14 messages missing between the last command (activate) at (2013-07-15 01:40:43.034412) and current command (calibrate) at (calibrate). 
2013-07-15 01:41:46.876639 : Error(103)!! Invalid command sequence. The command connect cannot come after (calibrate) that arrived recently at (2013-07-15 01:41:42.790119).
Message : You can not run (connect) command while you are in vote cast session! Exit the vote cast session first.
 
2013-07-15 01:41:58.034168 : Error(103)!! Invalid command sequence. The command activate cannot come after (calibrate) that arrived recently at (2013-07-15 01:41:42.790119).
Message : You can not run (activate) command while you are in vote cast session! Exit the vote cast session first. 
 
2013-07-15 01:42:35.917910 : Error(101)!! There was 2 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-15 03:22:21.423880 : Error(101)!! There was 10 messages missing between the last command (report) at (2013-07-15 01:43:43.838933) and current command (calibrate) at (calibrate). 
2013-07-15 08:50:15.612546 : Error(101)!! There was 16 messages missing between the last command (report) at (2013-07-15 03:23:06.473991) and current command (connect) at (connect). 
2013-07-15 08:50:52.603054 : Error(101)!! There was 1 messages missing between the last command (select) at (2013-07-15 08:50:46.946784) and current command (votercast) at (votercast). 
2013-07-17 00:28:59.564520 : Error(101)!! There was 3 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:54:19.259260 : Error(101)!! There was 7 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:55:17.809151 : Error(101)!! There was 9 messages missing between the last command (calibrate) at (2013-07-17 10:54:57.718272) and current command (calibrate) at (calibrate). 
2013-07-17 10:56:05.229415 : Error(101)!! There was 8 messages missing between the last command (calibrate) at (2013-07-17 10:54:57.718272) and current command (calibrate) at (calibrate). 
2013-07-17 10:58:38.418406 : Error(101)!! There was 11 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:59:45.933311 : Error(101)!! There was 1 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 10:59:51.894716 : Error(101)!! There was 3 messages missing between the last command (calibrate) at () and current command (calibrate) at (calibrate). 
2013-07-17 11:00:07.852448 : Error(101)!! There was 8 messages missing between the last command (calibrate) at () and current command (calibrate) at (calibrate). 
2013-07-17 11:00:20.147893 : Error(101)!! There was 7 messages missing between the last command (calibrate) at () and current command (calibrate) at (calibrate). 
2013-07-17 11:00:24.964299 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:00:21.616055) and current command (calibrate) at (calibrate). 
2013-07-17 11:03:22.381082 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:02:24.877053) and current command (calibrate) at (calibrate). 
2013-07-17 11:03:24.452294 : Error(101)!! There was 1 messages missing between the last command (calibrate) at (2013-07-17 11:02:24.877053) and current command (calibrate) at (calibrate). 
2013-07-17 11:04:40.746757 : Error(101)!! There was 4 messages missing between the last command (calibrate) at (2013-07-17 11:03:43.392780) and current command (calibrate) at (calibrate). 
2013-07-17 11:05:19.195838 : Error(101)!! There was 7 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 11:06:52.865348 : Error(101)!! There was 5 messages missing between the last command (calibrate) at (2013-07-17 11:05:22.391445) and current command (calibrate) at (calibrate). 
2013-07-17 11:07:35.451139 : Error(101)!! There was 10 messages missing between the last command () at () and current command (calibrate) at (calibrate). 
2013-07-17 11:07:53.765974 : Error(101)!! There was 9 messages missing between the last command (calibrate) at (2013-07-17 11:07:37.455959) and current command (calibrate) at (calibrate). 
2013-07-17 11:08:00.217236 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:07:37.455959) and current command (calibrate) at (calibrate). 
2013-07-17 11:08:07.999224 : Error(101)!! There was 2 messages missing between the last command (calibrate) at (2013-07-17 11:08:03.372810) and current command (calibrate) at (calibrate). 
2013-07-17 11:08:57.281749 : Error(101)!! There was 1 messages missing between the last command (activate) at (2013-07-17 11:08:41.473420) and current command (cancel) at (cancel). 
2013-07-17 11:08:57.281926 : Error (120)!! Unexpected behavious!! Canceled option ID 01010101 is not selected before! 
2013-09-12 18:25:29.888849 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.941714 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:29.994842 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.049441 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.105621 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.159747 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.212383 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.265390 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.320109 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.373477 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.426161 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.479394 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.531876 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.586284 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.640418 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.694126 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.747064 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.800038 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.855899 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.909570 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:30.963396 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.017661 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.069953 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.122560 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.175441 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.228665 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.282323 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.338113 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.390529 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.443565 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.498244 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.551700 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.604780 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.657684 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.711646 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.764270 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.819475 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.874642 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.927720 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:31.980270 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.033272 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.087324 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.140607 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.193205 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.246667 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.299571 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.352560 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.407412 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.461379 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.514239 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.568183 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.621127 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.673181 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.726105 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.779983 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.833051 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.886747 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.939797 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:32.992693 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.045666 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.100936 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.155156 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.209843 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.264934 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.318275 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.373005 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.428239 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.481334 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.534125 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.587243 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.641987 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.694766 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.749338 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.803722 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.858470 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.910867 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:33.962973 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.017799 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.071049 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.124617 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.177153 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.230706 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.283686 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.336318 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.389396 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.441917 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.498503 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.551561 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.604811 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.659157 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.711973 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.765198 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.818436 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.873282 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.927699 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:34.981231 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.033777 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.086649 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.139730 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.192808 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.245074 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.297728 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.350672 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.404365 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.457500 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.510340 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.563539 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.616820 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.669891 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.723396 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.776452 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.829501 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.884120 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.936319 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:35.989928 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.044134 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.099040 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.152023 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.205062 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.257921 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.311005 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.365655 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.420028 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.474831 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.531073 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.583809 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.637083 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.689406 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.743043 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.796326 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.850240 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.905678 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:36.960608 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.014566 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.066802 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.120221 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.172920 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.227134 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.280811 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.333868 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.386405 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.440062 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.493820 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.547390 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.600569 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.655529 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.709890 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.762785 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.815890 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.870101 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.924118 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:37.978277 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.031822 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.085679 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.141945 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.195048 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.248166 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.302807 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.357299 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.410772 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
2013-09-12 18:25:38.464816 : Error (102)!! Bad verification message. Message length is under the acceptable one! 
